andi,,,,,,,,,
0.00E+00,9.41E-03,8.67E-03,1.22E-02,1.17E-02,9.58E-03,1.17E-02,1.01E-02,1.16E-02,8.70E-03
9.41E-03,0.00E+00,8.23E-03,1.22E-02,1.18E-02,8.72E-03,1.20E-02,1.49E-03,1.14E-02,1.19E-03
8.67E-03,8.23E-03,0.00E+00,1.19E-02,1.13E-02,9.16E-03,1.13E-02,9.40E-03,1.11E-02,8.16E-03
1.22E-02,1.22E-02,1.19E-02,0.00E+00,1.33E-02,1.24E-02,1.35E-02,1.26E-02,1.29E-02,1.19E-02
1.17E-02,1.18E-02,1.13E-02,1.33E-02,0.00E+00,1.22E-02,3.85E-04,1.18E-02,3.23E-03,1.18E-02
9.58E-03,8.72E-03,9.16E-03,1.24E-02,1.22E-02,0.00E+00,1.22E-02,9.41E-03,1.16E-02,8.82E-03
1.17E-02,1.20E-02,1.13E-02,1.35E-02,3.85E-04,1.22E-02,0.00E+00,1.19E-02,3.18E-03,1.17E-02
1.01E-02,1.49E-03,9.40E-03,1.26E-02,1.18E-02,9.41E-03,1.19E-02,0.00E+00,1.16E-02,1.98E-03
1.16E-02,1.14E-02,1.11E-02,1.29E-02,3.23E-03,1.16E-02,3.18E-03,1.16E-02,0.00E+00,1.12E-02
8.70E-03,1.19E-03,8.16E-03,1.19E-02,1.18E-02,8.82E-03,1.17E-02,1.98E-03,1.12E-02,0.00E+00
